Date,CP,n_headlines,sentiment_mean,sentiment_std,positive_share,negative_share,neutral_share,pos_score_mean,neg_score_mean,sentiment_trend,sentiment_reversal,sentiment_change,return_1d,return_5d,volatility_5d,roll_max_5d,roll_min_5d,cp_lag1,cp_lag2,fwd_return,target
2023-08-15,4437.86,18,0.2222222222222222,0.8084520834544433,0.4444444444444444,0.2222222222222222,0.3333333333333333,0.45229053,0.20923561,0.2407407407407407,0,0.0555555555555555,-0.011550831677699436,-0.013672994945970407,0.0067069105017617935,4489.72,4437.86,4489.72,4464.05,-0.015356500655721361,-1
2023-08-16,4404.33,14,0.6428571428571429,0.633323693776651,0.7142857142857143,0.0714285714285714,0.2142857142857142,0.68299156,0.076081455,0.3439153439153439,0,0.4206349206349207,-0.0075554433893813,-0.014186238587553857,0.006793289247178996,4489.72,4404.33,4437.86,4489.72,-0.0010353447629944945,0
2023-08-17,4370.36,14,0.5714285714285714,0.646206172658864,0.6428571428571429,0.0714285714285714,0.2857142857142857,0.61849844,0.10602154,0.4788359788359788,0,-0.0714285714285715,-0.007712864385729601,-0.022034850285197694,0.006822464746813481,4489.72,4370.36,4404.33,4437.86,0.003933314418034239,0
2023-08-18,4369.71,15,0.2,0.7745966692414834,0.4,0.2,0.4,0.34563875,0.20093684,0.4714285714285713,0,-0.3714285714285714,-0.00014872916647590273,-0.021133275836964227,0.006947075148895147,4489.72,4369.71,4370.36,4404.33,0.015172631593400876,1
2023-08-21,4399.77,27,0.074074074074074,0.9167637866189088,0.4444444444444444,0.3703703703703703,0.1851851851851851,0.46487585,0.34565586,0.2818342151675485,0,-0.1259259259259259,0.006879175048229769,-0.020034656949653784,0.007359156917068234,4437.86,4369.71,4369.71,4370.36,-0.005332096905065531,-1
2023-08-22,4387.55,27,0.2222222222222222,0.6979824404521128,0.3703703703703703,0.1481481481481481,0.4814814814814814,0.3776034,0.17260095,0.1654320987654321,0,0.1481481481481481,-0.0027774179104816943,-0.011336545091553019,0.0060420425022003465,4404.33,4369.71,4399.77,4369.71,0.004138984171120574,0
2023-08-23,4436.01,17,-0.0588235294117647,1.0289915108550531,0.4705882352941176,0.5294117647058824,0.0,0.47998473,0.51715004,0.0791575889615105,1,-0.2810457516339869,0.011044888377340412,0.007192921511330885,0.00751536193138422,4436.01,4369.71,4387.55,4399.77,-0.0006086550751688291,0
2023-08-24,4376.31,26,0.2307692307692307,0.7646014547562572,0.4230769230769231,0.1923076923076923,0.3846153846153846,0.41993394,0.19367792,0.131389307859896,1,0.2895927601809955,-0.013458039995401183,0.0013614439085112284,0.009456391699635008,4436.01,4369.71,4436.01,4387.55,0.027721984959931945,1
2023-08-25,4405.71,22,0.4545454545454545,0.7385489458759964,0.5909090909090909,0.1363636363636363,0.2727272727272727,0.5151864,0.22963786,0.2088303853009735,0,0.2237762237762237,0.006717988442317857,0.008238532991891923,0.009863350136770099,4436.01,4376.31,4376.31,4436.01,0.02477693720194929,1
2023-08-28,4433.31,20,0.5,0.7608859102526822,0.65,0.15,0.2,0.6511214,0.1499832,0.3951048951048951,0,0.0454545454545454,0.0062645975336552695,0.007623125754300686,0.00978590691941199,4436.01,4376.31,4405.71,4376.31,0.016770764958913276,1
2023-08-29,4497.63,10,-0.2,0.9189365834726816,0.3,0.5,0.2,0.3181586,0.48475313,0.2515151515151514,1,-0.7,0.014508347036412905,0.025089172772959856,0.01086505937112404,4497.63,4376.31,4433.31,4405.71,0.004033235281692971,0
2023-08-30,4514.87,23,-0.0434782608695652,0.9282564726687248,0.391304347826087,0.4347826086956521,0.1739130434782608,0.3837294,0.43010354,0.0855072463768115,0,0.1565217391304348,0.0038331298928546698,0.017777236751044256,0.01033007085006099,4514.87,4376.31,4497.63,4433.31,-0.003995685368570978,0
2023-08-31,4507.66,17,0.2941176470588235,0.919558717697852,0.5882352941176471,0.2941176470588235,0.1176470588235294,0.56122744,0.32122967,0.0168797953964194,1,0.3375959079283888,-0.0015969452055097921,0.030013870132600262,0.005817462894530423,4514.87,4405.71,4514.87,4497.63,-0.009357404950684045,-1
2023-09-01,4515.77,25,0.36,0.8602325267042625,0.6,0.24,0.16,0.59025306,0.24624982,0.2035464620630861,0,0.0658823529411764,0.0017991596526802933,0.024981217556307778,0.0060647994706970396,4515.77,4433.31,4507.66,4514.87,-0.014312066380705812,-1
2023-09-05,4496.83,27,0.4074074074074074,0.7970744227031972,0.5925925925925926,0.1851851851851851,0.2222222222222222,0.5601191,0.19054572,0.3538416848220769,0,0.0474074074074074,-0.00419419058100845,0.014327894958845455,0.007200378947734863,4515.77,4496.83,4515.77,4507.66,-0.00874838497341468,-1
2023-09-06,4465.48,23,0.4347826086956521,0.7277666307098063,0.5652173913043478,0.1304347826086956,0.3043478260869565,0.5757643,0.13658214,0.4007300053676865,0,0.0273752012882447,-0.0069715777558858605,-0.007148209167939679,0.004373375011986929,4515.77,4465.48,4496.83,4515.77,0.0049222032121967185,0
2023-09-07,4451.14,19,0.5263157894736842,0.696692268479466,0.631578947368421,0.1052631578947368,0.2631578947368421,0.5936327,0.12357397,0.4561686018589146,0,0.091533180778032,-0.0032113009127796577,-0.01411557807865993,0.0032445528312629018,4515.77,4451.14,4465.48,4496.83,0.0024173582497966084,0
2023-09-08,4457.49,21,0.2857142857142857,0.7171371656006362,0.4285714285714285,0.1428571428571428,0.4285714285714285,0.4259315,0.1414278,0.4156042279612073,0,-0.2406015037593984,0.0014266008258556617,-0.011129943252152996,0.0037718832331779238,4515.77,4451.14,4451.14,4465.48,0.0022321979409936077,0
2023-09-11,4487.46,16,-0.1875,0.9105858919765156,0.3125,0.5,0.1875,0.3048677,0.47531533,0.2081766917293233,1,-0.4732142857142857,0.006723514803174124,-0.006269141253872679,0.005384989218529251,4496.83,4451.14,4457.49,4451.14,0.003930954259202313,0
2023-09-12,4461.9,33,0.0,0.7905694150420947,0.303030303030303,0.303030303030303,0.3939393939393939,0.32645673,0.29536048,0.0327380952380952,0,0.1875,-0.005695872498027943,-0.007767694131199154,0.005627006158753501,4487.46,4451.14,4487.46,4457.49,-0.002595306932024477,0
2023-09-13,4467.44,21,0.1904761904761904,0.8728715609439694,0.4761904761904761,0.2857142857142857,0.238095238095238,0.48017153,0.25995559,0.0009920634920634,0,0.1904761904761904,0.001241623523611013,0.0004389225794314555,0.004782544471141824,4487.46,4451.14,4461.9,4487.46,-0.0031136400265028286,0
2023-09-14,4505.1,18,0.5,0.7859052479933758,0.6666666666666666,0.1666666666666666,0.1666666666666666,0.68172276,0.14561772,0.2301587301587301,0,0.3095238095238095,0.008429883781315706,0.012122737096563974,0.005542598883931038,4505.1,4457.49,4467.44,4461.9,-0.013573505582562095,-1
2023-09-15,4450.32,24,0.25,0.7939992333804207,0.4583333333333333,0.2083333333333333,0.3333333333333333,0.43418285,0.23892592,0.3134920634920635,0,-0.25,-0.012159552507158722,-0.001608528566525158,0.008626722236938448,4505.1,4450.32,4505.1,4467.44,-0.010812705603192585,-1
